crate,embedding_repos,requirements,scopes,repo_urls
criterion,9,"*,0.6,0.6.0,0.5.1,0.8","development,runtime,build","https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/safetensors/safetensors,https://github.com/chroma-core/chroma,https://github.com/instagram/libcst,https://github.com/dbt-labs/dbt-core,https://github.com/parcel-bundler/parcel,https://github.com/formatjs/formatjs,https://github.com/oxidize-rb/rb-sys"
napi-build,9,"*,2.4.1,2.3.2,2.3.1,2,2.0.1,2.1.3",build,"https://github.com/swc-project/swc,https://github.com/rollup/rollup,https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/chroma-core/chroma,https://github.com/react/react,https://github.com/parcel-bundler/parcel"
rustc-hash,9,"2.1.1,*,2.1.0,2,2.1.3,1.1,2.0.0","runtime,development","https://github.com/swc-project/swc,https://github.com/vercel/next.js,https://github.com/openai/tiktoken,https://github.com/tox-dev/pipdeptree,https://github.com/datadog/dd-trace-py,https://github.com/react/react,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/duskmoon-dev/phoenix-duskmoon-ui"
sha2,9,"*,0.10.7,0.10,0.11.0,0.10.6,0.11,0.10.8","runtime,development","https://github.com/pnpm/pnpm,https://github.com/vercel/next.js,https://github.com/facebook/flipper,https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/facebook/relay,https://github.com/formatjs/formatjs,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/build-trust/ockam"
smallvec,9,"*,1.15.1,1.*,^1.13,1,1.6.1,1.15.2,1.15",runtime,"https://github.com/vercel/next.js,https://github.com/pydantic/pydantic,https://github.com/harfbuzz/harfbuzz,https://codeberg.org/jpt/jellyfish,https://github.com/hit-scir/ltp,https://github.com/datadog/dd-trace-py,https://github.com/facebook/hermes,https://github.com/facebook/relay,https://gitlab.com/gitlab-org/prometheus-client-mmap"
async-trait,8,"*,0.1.41,0.1.91,0.1.59,0.1.92,0.1.88,0.1","runtime,development","https://github.com/pnpm/pnpm,https://github.com/vercel/next.js,https://github.com/tensorflow/tensorboard,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/ngrok/ngrok-python,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
flate2,8,"*,1.1.1,1.1.9,1.0,1.0.18,1.0.35","runtime,build","https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/seleniumhq/selenium,https://github.com/microsoft/onnxruntime,https://github.com/pyo3/maturin,https://github.com/build-trust/ockam,https://github.com/benhaney/jsonrs"
hashbrown,8,"0.17.1,0.14.5,*,0.17,0.16,0.17.0,0.15.2",runtime,"https://github.com/facebook/flow,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/pydantic/pydantic,https://github.com/safetensors/safetensors,https://github.com/facebook/relay,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/build-trust/ockam"
parking_lot,8,"0.12.5,0.12.1,*,0.12","runtime,development","https://github.com/rollup/rollup,https://github.com/facebook/flow,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/ngrok/ngrok-python,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay"
percent-encoding,8,"2.3.1,2.3.2,2.2.0,2.3,2.1,2",runtime,"https://github.com/vercel/next.js,https://github.com/pydantic/pydantic,https://github.com/dbt-labs/dbt-core,https://github.com/datadog/dd-trace-py,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/sferik/x-cli,https://github.com/build-trust/ockam"
pyo3-build-config,8,"0.28,=0.29,0.29,0.28.2,0.29.0,^0.25,0.24",build,"https://github.com/ijl/orjson,https://github.com/huggingface/tokenizers,https://github.com/pydantic/pydantic,https://github.com/agronholm/cbor2,https://github.com/pyo3/maturin,https://github.com/milesgranger/cramjam,https://github.com/datadog/dd-trace-py,https://github.com/ngrok/ngrok-python"
toml,8,"1.0,0.8.20,1.1.2,0.7.6,0.5.11,=0.5.7,0.8","runtime,development","https://github.com/seleniumhq/selenium,https://github.com/chroma-core/chroma,https://github.com/tox-dev/pipdeptree,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/facebook/hermes,https://github.com/build-trust/ockam"
uuid,8,"1.24.1,1.0,*,1.23.2,1,1.10.0,0.5","runtime,development","https://github.com/facebook/flow,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/pydantic/pydantic,https://github.com/apache/thrift,https://github.com/chroma-core/chroma,https://github.com/build-trust/ockam,https://github.com/korczis/gauc.ex"
xxhash-rust,8,"0.8.18,0.8.5,*,^0.8,0.8.2,0.8,0.8.12",runtime,"https://github.com/rollup/rollup,https://github.com/facebook/flow,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/ijl/orjson,https://github.com/parcel-bundler/parcel,https://github.com/ruby/rbs,https://github.com/farhadi/xxh3"
bincode,7,"2,*,1.1.3,1.2.1,1.3","runtime,development","https://github.com/facebook/flow,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/facebook/relay,https://github.com/build-trust/ockam,https://github.com/vonmo/erbloom,https://github.com/thomas-jean/blake3"
dashmap,7,"*,5.5.3,6.1.0,6.2.1",runtime,"https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/dbt-labs/dbt-core,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay"
env_logger,7,"0.11,0.8.2,0.11.10,0.11.11,0.9,0.9.0",runtime,"https://github.com/huggingface/tokenizers,https://github.com/tensorflow/tensorboard,https://github.com/seleniumhq/selenium,https://github.com/elastic/elasticsearch,https://github.com/wandb/wandb,https://github.com/benfred/py-spy,https://github.com/mcu-tools/mcuboot"
glob,7,"0.3.2,0.3.4,0.3.3,0.3.0,0.3.1","build,runtime","https://github.com/andfoy/pywinpty,https://github.com/wandb/wandb,https://github.com/tox-dev/pipdeptree,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay"
indicatif,7,"0.18,^0.17,0.17.8,*,0.17","runtime,development","https://github.com/huggingface/tokenizers,https://github.com/facebook/flipper,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/benfred/py-spy,https://github.com/suo/lintrunner,https://github.com/build-trust/ockam"
libfuzzer-sys,7,"0.4,0.4.9,*",runtime,"https://github.com/swc-project/swc,https://github.com/tailwindlabs/tailwindcss,https://github.com/vercel/next.js,https://github.com/astral-sh/ruff,https://github.com/safetensors/safetensors,https://github.com/dbt-labs/dbt-core,https://github.com/oxidize-rb/rb-sys"
pretty_assertions,7,"1.4.1,*,1.3.0,0.1.2","development,runtime","https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/pnpm/pnpm,https://github.com/pyo3/maturin,https://github.com/fgribreau/mailchecker,https://github.com/facebook/relay,https://github.com/formatjs/formatjs"
rustler_codegen,7,"0.18,0.16,0.29.1,0.23.0,0.30,0.20.0",runtime,"https://github.com/urbint/rox,https://github.com/korczis/gauc.ex,https://github.com/elixir-ecto/excoding,https://github.com/mjaric/tds-encoding,https://github.com/thomas-jean/blake3,https://github.com/lucassifoni/imago,https://github.com/dlesl/erqwest"
rustls,7,"0.23,0.23.42,0.23.0,*,0.23.25,0.23.13","runtime,development","https://github.com/seleniumhq/selenium,https://github.com/apache/thrift,https://github.com/google/boringssl,https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/ngrok/ngrok-python,https://github.com/build-trust/ockam"
dunce,6,"1.0.5,1,1.0.2,1.0.1",runtime,"https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/pyo3/maturin,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay"
indoc,6,"*,2.0.3,1.0.3,2.0.2,2.0.6,2.0.5","development,runtime","https://github.com/vercel/next.js,https://github.com/pyo3/maturin,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/build-trust/ockam"
insta,6,"1.48.0,1.42.2,1.43.1,1.38.0,1.34.0",development,"https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner"
memmap2,6,"0.9.5,0.9,=0.6.2,0.9.4,0.9.9","runtime,development","https://github.com/vercel/next.js,https://github.com/safetensors/safetensors,https://github.com/catboost/catboost,https://github.com/benfred/py-spy,https://github.com/pyo3/maturin,https://gitlab.com/gitlab-org/prometheus-client-mmap"
num-traits,6,"0.2.15,0.2.19,0.2",runtime,"https://github.com/vercel/next.js,https://github.com/google/flatbuffers,https://github.com/pydantic/pydantic,https://codeberg.org/jpt/jellyfish,https://github.com/benfred/py-spy,https://github.com/hit-scir/ltp"
serde_bytes,6,"0.11,0.11.5",runtime,"https://github.com/facebook/watchman,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/rusterlium/rustler"
serde_derive,6,"1.0.119,1.0,1.0.229,1.0.2",runtime,"https://github.com/google/flatbuffers,https://github.com/google-research/google-research,https://github.com/benfred/py-spy,https://github.com/mcu-tools/mcuboot,https://github.com/facebook/relay,https://github.com/flajann2/juwelier"
tar,6,"*,0.4.44,0.4.39,0.4,0.4.46","runtime,build","https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/seleniumhq/selenium,https://github.com/facebook/flipper,https://github.com/microsoft/onnxruntime,https://github.com/pyo3/maturin"
tokio-util,6,"0.7,0.7.9,*,0.7.12,0.7.15,0.2",runtime,"https://github.com/facebook/watchman,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/build-trust/ockam,https://github.com/discord/loqui"
ahash,5,"0.8.11,0.8.12,^0.8",runtime,"https://github.com/facebook/watchman,https://github.com/huggingface/tokenizers,https://github.com/pydantic/pydantic,https://github.com/chroma-core/chroma,https://codeberg.org/jpt/jellyfish"
arrow,5,"58,59.1.0,*",runtime,"https://github.com/elastic/elasticsearch,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/pola-rs/polars,https://github.com/eventual-inc/daft"
assert_cmd,5,"2.2.2,2.0.13,0.12,2",development,"https://github.com/seleniumhq/selenium,https://github.com/suo/lintrunner,https://github.com/facebook/hermes,https://github.com/sferik/x-cli,https://github.com/build-trust/ockam"
bindgen,5,"0.52.0,0.63,~0.59,0.72.0,0.72","development,build,runtime","https://github.com/nodejs/node,https://github.com/microsoft/onnxruntime,https://github.com/catboost/catboost,https://github.com/ruby/rbs,https://github.com/oxidize-rb/rb-sys"
bitflags,5,"1.3.2,2.8.0,1.2.1,=1.2,2.0,2.7.0",runtime,"https://github.com/vercel/next.js,https://github.com/google/flatbuffers,https://github.com/apache/thrift,https://github.com/google/boringssl,https://github.com/parcel-bundler/parcel"
cc,5,"1,1.2,1.0.88,1.0.25,1.2.29","build,runtime","https://github.com/ijl/orjson,https://github.com/chroma-core/hnswlib,https://github.com/pyo3/maturin,https://github.com/mcu-tools/mcuboot,https://github.com/ruby/rbs"
crossbeam-channel,5,"0.5.15,0.5,*,0.5.6","development,runtime","https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/samuelcolvin/watchfiles,https://github.com/parcel-bundler/parcel"
futures-util,5,"*,0.3.30,0.3.31,0.3.34,0.3","runtime,development","https://github.com/pnpm/pnpm,https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
hex,5,"0.4.3,0.4","runtime,development","https://github.com/vercel/next.js,https://github.com/pydantic/pydantic,https://github.com/facebook/relay,https://github.com/formatjs/formatjs,https://github.com/build-trust/ockam"
hyper,5,"0.14,1.0,*,1.11.0,1","runtime,development","https://github.com/vercel/next.js,https://github.com/google/boringssl,https://github.com/chroma-core/chroma,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
image,5,"*,0.24,0.23.12","runtime,development","https://github.com/vercel/next.js,https://github.com/microsoft/onnxruntime,https://github.com/huacnlee/rucaptcha,https://github.com/lucassifoni/imago,https://github.com/nbw/qrusty"
ndarray,5,"0.16,0.15,*,0.15.6","runtime,development","https://github.com/huggingface/tokenizers,https://github.com/microsoft/onnxruntime,https://github.com/chroma-core/chroma,https://github.com/hit-scir/ltp,https://github.com/dockyard/netcdf"
notify,5,"8.2.0,*,8.0.0,>=5.0.0,<8.0.0",runtime,"https://github.com/facebook/flow,https://github.com/vercel/next.js,https://github.com/samuelcolvin/watchfiles,https://github.com/dbt-labs/dbt-core,https://github.com/build-trust/ockam"
proptest,5,"1.2.0,1.7,*,1.5.0,1.6","development,runtime","https://github.com/swc-project/swc,https://github.com/safetensors/safetensors,https://github.com/chroma-core/chroma,https://github.com/build-trust/ockam,https://github.com/duskmoon-dev/phoenix-duskmoon-ui"
rstest,5,"*,0.26.1,0.26",development,"https://github.com/vercel/next.js,https://github.com/seleniumhq/selenium,https://github.com/tox-dev/pipdeptree,https://github.com/pyo3/maturin,https://github.com/github-linguist/linguist"
similar,5,"2.2.0,3.0.0,2.4.0,3","runtime,development","https://github.com/facebook/flow,https://github.com/vercel/next.js,https://github.com/astral-sh/ruff,https://github.com/suo/lintrunner,https://github.com/react/react"
strum,5,"0.27,0.27.1,0.26,0.28.0,0.26.3",runtime,"https://github.com/pydantic/pydantic,https://github.com/chroma-core/chroma,https://github.com/datadog/dd-trace-py,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
tonic,5,"0.6.2,0.14.6,*,0.14,0.12",runtime,"https://github.com/tensorflow/tensorboard,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/momentohq/client-protos,https://github.com/build-trust/ockam"
trybuild,5,"1.0.116,1.0,1",development,"https://github.com/vercel/next.js,https://github.com/instagram/libcst,https://github.com/pola-rs/polars,https://github.com/rusterlium/rustler,https://github.com/build-trust/ockam"
wasm-bindgen,5,"0.2.127,0.2,0.2.0,0.2.100",runtime,"https://github.com/rollup/rollup,https://github.com/vercel/next.js,https://github.com/harfbuzz/harfbuzz,https://github.com/milesgranger/cramjam,https://github.com/facebook/relay"
zip,5,"*,8,0.6,8.6.0,8.1.0","runtime,build,development","https://github.com/pnpm/pnpm,https://github.com/seleniumhq/selenium,https://github.com/microsoft/onnxruntime,https://github.com/wandb/wandb,https://github.com/pyo3/maturin"
cmake,4,"0.1.42,0.1",build,"https://github.com/nodejs/node,https://github.com/microsoft/onnxruntime,https://github.com/mcu-tools/mcuboot,https://github.com/facebook/hermes"
colored,4,"2,2.1.0,3.0.0",runtime,"https://github.com/nrwl/nx,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/facebook/relay"
console,4,"0.16,0.16.0,0.15.8,0.15.11",runtime,"https://github.com/benfred/py-spy,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/build-trust/ockam"
data-encoding,4,"2.3.3,*,^2,2.3.2",runtime,"https://github.com/swc-project/swc,https://github.com/vercel/next.js,https://github.com/facebook/flipper,https://github.com/parcel-bundler/parcel"
dialoguer,4,"0.11.0,0.12.0,0.10.4,0.11",runtime,"https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/build-trust/ockam"
either,4,"1,*,1.13.0",runtime,"https://github.com/vercel/next.js,https://github.com/pola-rs/polars,https://github.com/elixir-explorer/explorer,https://github.com/build-trust/ockam"
fancy-regex,4,"0.16.2,0.17,0.19.0,*",runtime,"https://github.com/facebook/flow,https://github.com/huggingface/tokenizers,https://github.com/openai/tiktoken,https://github.com/dbt-labs/dbt-core"
globset,4,"0.4.20,0.4.10",runtime,"https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/facebook/relay"
lightningcss,4,"*,1.0.0-alpha.63,=1.0.0-alpha.71",runtime,"https://github.com/swc-project/swc,https://github.com/vercel/next.js,https://github.com/parcel-bundler/parcel,https://github.com/duskmoon-dev/phoenix-duskmoon-ui"
memchr,4,"2.6.3,*,2.7.4",runtime,"https://github.com/tailwindlabs/tailwindcss,https://github.com/vercel/next.js,https://github.com/astral-sh/ruff,https://github.com/instagram/libcst"
nix,4,"0.30.1,0.31.1,0.25,0.29","runtime,development","https://github.com/facebook/flow,https://github.com/pyo3/maturin,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/build-trust/ockam"
num-bigint,4,"0.4,0.4.6,*,0.5",runtime,"https://github.com/vercel/next.js,https://github.com/pydantic/pydantic,https://github.com/agronholm/cbor2,https://github.com/rusterlium/rustler"
num_cpus,4,"1.16.0,*,1.17.0,1.13.1",runtime,"https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/indygreg/python-zstandard,https://github.com/mcu-tools/mcuboot"
object_store,4,"*,0.13,0.12",runtime,"https://github.com/pnpm/pnpm,https://github.com/elastic/elasticsearch,https://github.com/chroma-core/chroma,https://github.com/elixir-explorer/explorer"
pathdiff,4,"0.2.1,*,0.2.0,0.2",runtime,"https://github.com/dotansimha/graphql-code-generator,https://github.com/vercel/next.js,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay"
petgraph,4,"*,0.8,^0.4",runtime,"https://github.com/vercel/next.js,https://github.com/chroma-core/chroma,https://github.com/facebook/relay,https://github.com/bonfire-networks/tree_magic.ex"
prost,4,"0.9.0,0.13,0.14.4,*,0.14",runtime,"https://github.com/tensorflow/tensorboard,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/momentohq/client-protos"
pyo3-ffi,4,"0.28,=0.29,0.29.0",runtime,"https://github.com/ijl/orjson,https://github.com/huggingface/tokenizers,https://github.com/pyo3/maturin,https://github.com/datadog/dd-trace-py"
serde-transcode,4,"1,1.1",runtime,"https://github.com/react/react,https://github.com/rusterlium/rustler,https://github.com/avencera/fast_rss,https://github.com/benhaney/jsonrs"
serde_yaml,4,"0.9.32,0.9","runtime,build","https://github.com/facebook/flipper,https://github.com/chroma-core/chroma,https://github.com/ruby/rbs,https://github.com/build-trust/ockam"
textwrap,4,"0.16.2,0.16.1,0.15.2",runtime,"https://github.com/chroma-core/chroma,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner"
time,4,"0.3.35,0.3.34,0.3.17,0.3,=0.3.39","runtime,development","https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/web-push-libs/vapid,https://github.com/build-trust/ockam"
tokio-stream,4,"0.1.9,0.1.15,0.1.2,0.1.19,0.1.16",runtime,"https://github.com/vercel/next.js,https://github.com/tensorflow/tensorboard,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma"
async-stream,3,"0.3.4,0.3.0,*",runtime,"https://github.com/vercel/next.js,https://github.com/tensorflow/tensorboard,https://github.com/chroma-core/chroma"
backtrace,3,"*,0.3",runtime,"https://github.com/swc-project/swc,https://github.com/web-push-libs/vapid,https://github.com/build-trust/ockam"
bstr,3,"1.6.2,1.11.3,1.13.1,1.12","development,runtime","https://github.com/tailwindlabs/tailwindcss,https://github.com/openai/tiktoken,https://gitlab.com/gitlab-org/prometheus-client-mmap"
clap_complete,3,"4.6.1,4,4.5.47","runtime,build","https://github.com/benfred/py-spy,https://github.com/dbt-labs/dbt-core,https://github.com/build-trust/ockam"
clap_mangen,3,"0.2,0.3,0.2.26","build,development,runtime","https://github.com/dbt-labs/dbt-core,https://github.com/sferik/x-cli,https://github.com/build-trust/ockam"
console_error_panic_hook,3,"0.1.7,0.1.6",runtime,"https://github.com/rollup/rollup,https://github.com/vercel/next.js,https://github.com/facebook/relay"
crossbeam,3,"0.8,0.8.0",runtime,"https://github.com/facebook/flow,https://github.com/tensorflow/tensorboard,https://github.com/facebook/relay"
dirs,3,"6.0.0,5.0.1",runtime,"https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/sferik/x-cli"
getrandom,3,"*,0.3,0.4",runtime,"https://github.com/pnpm/pnpm,https://github.com/huggingface/tokenizers,https://github.com/pyca/bcrypt"
half,3,"2,*,2.7.1","development,runtime","https://github.com/hypothesisworks/hypothesis,https://github.com/chroma-core/chroma,https://github.com/agronholm/cbor2"
home,3,"*,0.5.9,0.5",runtime,"https://github.com/pnpm/pnpm,https://github.com/dbt-labs/dbt-core,https://github.com/build-trust/ockam"
html5ever,3,"*,0.39,0.26",runtime,"https://github.com/parcel-bundler/parcel,https://github.com/rusterlium/html5ever_elixir,https://github.com/mischov/meeseeks_html5ever"
http,3,"1,*,1.5.0",runtime,"https://github.com/chroma-core/chroma,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
http-body-util,3,"*,0.1.4,0",runtime,"https://github.com/chroma-core/chroma,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
hyper-util,3,"0.1,0.1.20,0","development,runtime","https://github.com/google/boringssl,https://github.com/facebook/relay,https://github.com/build-trust/ockam"
ignore,3,"0.4,0.4.22,0.4.20",runtime,"https://github.com/nrwl/nx,https://github.com/facebook/flipper,https://github.com/pyo3/maturin"
lru,3,"0.18.0,0.17",runtime,"https://github.com/pydantic/pydantic,https://github.com/elastic/elasticsearch,https://github.com/benfred/py-spy"
magnus,3,"0.8,0.8.2,*","runtime,development","https://github.com/gjtorikian/commonmarker,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/huacnlee/rucaptcha"
md-5,3,"0.10,0.11",runtime,"https://github.com/facebook/flow,https://github.com/facebook/relay,https://github.com/formatjs/formatjs"
mockito,3,"*,1.7.0,1.5.0",development,"https://github.com/pnpm/pnpm,https://github.com/vercel/next.js,https://github.com/build-trust/ockam"
parquet,3,"58,59.1.0,*",runtime,"https://github.com/elastic/elasticsearch,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma"
prost-build,3,"0.9.0,0.13,0.13.5","development,build","https://github.com/tensorflow/tensorboard,https://github.com/wandb/wandb,https://github.com/ngrok/ngrok-python"
prost-types,3,"0.9.0,0.13,0.14.4,*",runtime,"https://github.com/tensorflow/tensorboard,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma"
quickcheck,3,"0.5.0,1,1.0.1,1.0.3",development,"https://github.com/mozilla/source-map,https://github.com/dbt-labs/dbt-extractor,https://github.com/build-trust/ockam"
schemars,3,"0.8.21,*,1.0.4,1.2.2",runtime,"https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/facebook/relay"
semver,3,"1.0.26,1.0.22,1.0.23",runtime,"https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/build-trust/ockam"
serial_test,3,"3.0,*,3.2.0,3.0.0",development,"https://github.com/chroma-core/chroma,https://github.com/pyo3/maturin,https://github.com/build-trust/ockam"
sha1,3,"0.10.1,0.10.7,0.11",runtime,"https://github.com/vercel/next.js,https://github.com/facebook/relay,https://github.com/formatjs/formatjs"
socket2,3,"0.6.5,0.4.9,0.5.6",runtime,"https://github.com/facebook/flow,https://github.com/vercel/next.js,https://github.com/build-trust/ockam"
sqlx,3,"*,0.8.3",runtime,"https://github.com/pnpm/pnpm,https://github.com/chroma-core/chroma,https://github.com/build-trust/ockam"
swc_core,3,"65.1.*,*,23.0.*,21","runtime,development","https://github.com/dotansimha/graphql-code-generator,https://github.com/vercel/next.js,https://github.com/parcel-bundler/parcel"
sysinfo,3,"0.38.4,0.39.1,0.32",runtime,"https://github.com/facebook/watchman,https://github.com/nrwl/nx,https://github.com/build-trust/ockam"
tonic-prost,3,"0.14.6,0.14",runtime,"https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/momentohq/client-protos"
tonic-prost-build,3,"0.14.6,0.14","runtime,build","https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/momentohq/client-protos"
tower,3,"*,0.4","development,runtime","https://github.com/pnpm/pnpm,https://github.com/google/boringssl,https://github.com/chroma-core/chroma"
tracing-appender,3,"0.2,0.2.2",runtime,"https://github.com/nrwl/nx,https://github.com/build-trust/ockam,https://github.com/livebook-dev/livebook"
typed-arena,3,"2.0,2.0.2,2",runtime,"https://github.com/gjtorikian/commonmarker,https://github.com/parcel-bundler/parcel,https://github.com/rusterlium/html5ever_elixir"
unicode-width,3,"0.2.0,0.2,*","development,runtime","https://github.com/tailwindlabs/tailwindcss,https://github.com/vercel/next.js,https://github.com/astral-sh/ruff"
which,3,"8.0.2,8.0.0,7.0.2","runtime,development","https://github.com/seleniumhq/selenium,https://github.com/pyo3/maturin,https://github.com/build-trust/ockam"
xz2,3,"0.1.7,0.1",runtime,"https://github.com/seleniumhq/selenium,https://github.com/facebook/flipper,https://github.com/pyo3/maturin"
aho-corasick,2,"1.0,1.1",runtime,"https://github.com/dbt-labs/dbt-core,https://github.com/akoumjian/datefinder"
anstyle,2,"*,1.0.14",runtime,"https://github.com/astral-sh/ruff,https://github.com/tox-dev/pipdeptree"
arbitrary,2,"1.4.1,1.1.6",runtime,"https://github.com/vercel/next.js,https://github.com/dbt-labs/dbt-core"
arboard,2,3.4.1,runtime,"https://github.com/chroma-core/chroma,https://github.com/build-trust/ockam"
assert_fs,2,"1.0.10,1.0",development,"https://github.com/nrwl/nx,https://github.com/parcel-bundler/parcel"
aws-config,2,"*,1.5.15",runtime,"https://github.com/chroma-core/chroma,https://github.com/build-trust/ockam"
aws-lc-rs,2,"=1.17.0,=1.13",runtime,"https://github.com/ngrok/ngrok-python,https://github.com/build-trust/ockam"
axum,2,*,runtime,"https://github.com/pnpm/pnpm,https://github.com/chroma-core/chroma"
bcrypt,2,"*,0.19.1",runtime,"https://github.com/pnpm/pnpm,https://github.com/pyca/bcrypt"
browserslist-rs,2,"*,0.18.1",runtime,"https://github.com/vercel/next.js,https://github.com/parcel-bundler/parcel"
bumpalo,2,"3.20.3,*","development,runtime","https://github.com/facebook/flow,https://github.com/vercel/next.js"
bytes-str,2,"0.2.4,*",runtime,"https://github.com/swc-project/swc,https://github.com/vercel/next.js"
bytesize,2,"2.2.0,1.0.0",runtime,"https://github.com/pyo3/maturin,https://github.com/discord/loqui"
chrono-tz,2,"*,0.10",runtime,"https://github.com/dbt-labs/dbt-core,https://github.com/elixir-explorer/explorer"
compact_str,2,0.9,runtime,"https://github.com/huggingface/tokenizers,https://github.com/hit-scir/ltp"
configparser,2,"3.1.0,3.0.3",runtime,"https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin"
crossterm,2,"0.26.0,0.29.0",runtime,"https://github.com/vercel/next.js,https://github.com/chroma-core/chroma"
cssparser,2,"0.37.0,0.34.0",runtime,"https://github.com/vercel/next.js,https://github.com/parcel-bundler/parcel"
csv,2,"1.4.0,1.1","runtime,development","https://github.com/tox-dev/pipdeptree,https://codeberg.org/jpt/jellyfish"
ctor,2,"1.0.8,*",development,"https://github.com/facebook/flow,https://github.com/vercel/next.js"
ctrlc,2,"3,3.4.4",runtime,"https://github.com/benfred/py-spy,https://github.com/build-trust/ockam"
diff,2,"0.1,0.1.13","development,runtime","https://github.com/nodejs/node,https://github.com/facebook/relay"
difference,2,"2.0,2.0.0",development,"https://github.com/vercel/next.js,https://github.com/instagram/libcst"
directories,2,"6.0.0,4.0.1",runtime,"https://github.com/seleniumhq/selenium,https://github.com/suo/lintrunner"
duct,2,"0.13.7,0.13",runtime,"https://github.com/facebook/watchman,https://github.com/build-trust/ockam"
