purl,ecosystem,name,registry,dependent_repos,dependent_packages,downloads,downloads_period,latest_release,latest_release_at,repository_url,stars,rust_loc,total_loc,bridge_tools,sibling_runtime,has_cargo_lock,cargo_toml_count,cargo_toml_paths,cargo_lock_paths,signals
pkg:npm/fb-watchman,npm,fb-watchman,npmjs.org,992304,1100,186328805,last-month,2.0.2,2022-09-21T19:53:18.615Z,https://github.com/facebook/watchman,13674,5645,67319,"",0,0,4,watchman/cli/Cargo.toml;watchman/rust/serde_bser/Cargo.toml;watchman/rust/watchman_client/Cargo.toml;watchman/thirdparty/deelevate_binding/Cargo.toml,"","brief:lang,brief:cargo,cargo.toml,rust_loc"
pkg:npm/selenium-webdriver,npm,selenium-webdriver,npmjs.org,622782,2258,7816110,last-month,4.47.0,2026-08-10T17:58:53.750Z,https://github.com/seleniumhq/selenium,30616,9242,419542,"",1,1,1,rust/Cargo.toml,rust/Cargo.lock,"brief:lang,brief:cargo,cargo.toml,cargo.lock,rust_loc"
pkg:npm/create-react-class,npm,create-react-class,npmjs.org,448035,2180,8943190,last-month,15.7.0,2020-10-15T22:27:36.683Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/react-test-renderer,npm,react-test-renderer,npmjs.org,398011,33120,34202213,last-month,19.2.8,2026-07-21T15:42:09.248Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/%40swc/helpers,npm,@swc/helpers,npmjs.org,360974,1732,334115764,last-month,0.5.23,2026-05-27T06:48:57.046Z,https://github.com/swc-project/swc,29915,715139,7693977,napi-rs,0,1,134,Cargo.toml;bindings/binding_core_node/Cargo.toml;bindings/binding_core_wasm/Cargo.toml;bindings/binding_es_ast_viewer/Cargo.toml;bindings/binding_html_node/Cargo.toml;bindings/binding_html_wasm/Cargo.toml;bindings/binding_minifier_node/Cargo.toml;bindings/binding_minifier_wasm/Cargo.toml;bindings/binding_nodejs_support_wasm/Cargo.toml;bindings/binding_react_compiler_node/Cargo.toml;bindings/binding_typescript_wasm/Cargo.toml;bindings/swc_cli/Cargo.toml;crates/ast_node/Cargo.toml;crates/better_scoped_tls/Cargo.toml;crates/binding_macros/Cargo.toml;crates/dbg-swc/Cargo.toml;crates/from_variant/Cargo.toml;crates/hstr/Cargo.toml;crates/jsdoc/Cargo.toml;crates/preset_env_base/Cargo.toml;crates/string_enum/Cargo.toml;crates/swc-ast-explorer/Cargo.toml;crates/swc/Cargo.toml;crates/swc_allocator/Cargo.toml;crates/swc_arena/Cargo.toml;crates/swc_atoms/Cargo.toml;crates/swc_bundler/Cargo.toml;crates/swc_cli_impl/Cargo.toml;crates/swc_common/Cargo.toml;crates/swc_compiler_base/Cargo.toml;crates/swc_config/Cargo.toml;crates/swc_config_macro/Cargo.toml;crates/swc_core/Cargo.toml;crates/swc_css/Cargo.toml;crates/swc_css_ast/Cargo.toml;crates/swc_css_codegen/Cargo.toml;crates/swc_css_codegen_macros/Cargo.toml;crates/swc_css_compat/Cargo.toml;crates/swc_css_lints/Cargo.toml;crates/swc_css_minifier/Cargo.toml;crates/swc_css_modules/Cargo.toml;crates/swc_css_parser/Cargo.toml;crates/swc_css_prefixer/Cargo.toml;crates/swc_css_utils/Cargo.toml;crates/swc_css_visit/Cargo.toml;crates/swc_ecma_ast/Cargo.toml;crates/swc_ecma_codegen/Cargo.toml;crates/swc_ecma_codegen_macros/Cargo.toml;crates/swc_ecma_compat_bugfixes/Cargo.toml;crates/swc_ecma_compat_common/Cargo.toml;crates/swc_ecma_compat_es2015/Cargo.toml;crates/swc_ecma_compat_es2016/Cargo.toml;crates/swc_ecma_compat_es2017/Cargo.toml;crates/swc_ecma_compat_es2018/Cargo.toml;crates/swc_ecma_compat_es2019/Cargo.toml;crates/swc_ecma_compat_es2020/Cargo.toml;crates/swc_ecma_compat_es2021/Cargo.toml;crates/swc_ecma_compat_es2022/Cargo.toml;crates/swc_ecma_compat_es3/Cargo.toml;crates/swc_ecma_compat_regexp/Cargo.toml;crates/swc_ecma_ext_transforms/Cargo.toml;crates/swc_ecma_hooks/Cargo.toml;crates/swc_ecma_lexer/Cargo.toml;crates/swc_ecma_lints/Cargo.toml;crates/swc_ecma_loader/Cargo.toml;crates/swc_ecma_minifier/Cargo.toml;crates/swc_ecma_minifier/fuzz/Cargo.toml;crates/swc_ecma_parser/Cargo.toml;crates/swc_ecma_preset_env/Cargo.toml;crates/swc_ecma_quote/Cargo.toml;crates/swc_ecma_quote_macros/Cargo.toml;crates/swc_ecma_react_compiler/Cargo.toml;crates/swc_ecma_regexp/Cargo.toml;crates/swc_ecma_regexp_ast/Cargo.toml;crates/swc_ecma_regexp_common/Cargo.toml;crates/swc_ecma_regexp_visit/Cargo.toml;crates/swc_ecma_testing/Cargo.toml;crates/swc_ecma_transformer/Cargo.toml;crates/swc_ecma_transforms/Cargo.toml;crates/swc_ecma_transforms_base/Cargo.toml;crates/swc_ecma_transforms_classes/Cargo.toml;crates/swc_ecma_transforms_compat/Cargo.toml;crates/swc_ecma_transforms_macros/Cargo.toml;crates/swc_ecma_transforms_module/Cargo.toml;crates/swc_ecma_transforms_optimization/Cargo.toml;crates/swc_ecma_transforms_proposal/Cargo.toml;crates/swc_ecma_transforms_react/Cargo.toml;crates/swc_ecma_transforms_testing/Cargo.toml;crates/swc_ecma_transforms_typescript/Cargo.toml;crates/swc_ecma_utils/Cargo.toml;crates/swc_ecma_visit/Cargo.toml;crates/swc_ecmascript/Cargo.toml;crates/swc_eq_ignore_macros/Cargo.toml;crates/swc_error_reporters/Cargo.toml;crates/swc_estree_ast/Cargo.toml;crates/swc_estree_compat/Cargo.toml;crates/swc_graph_analyzer/Cargo.toml;crates/swc_html/Cargo.toml;crates/swc_html_ast/Cargo.toml;crates/swc_html_codegen/Cargo.toml;crates/swc_html_codegen_macros/Cargo.toml;crates/swc_html_minifier/Cargo.toml;crates/swc_html_parser/Cargo.toml;crates/swc_html_utils/Cargo.toml;crates/swc_html_visit/Cargo.toml;crates/swc_macros_common/Cargo.toml;crates/swc_malloc/Cargo.toml;crates/swc_node_bundler/Cargo.toml;crates/swc_node_comments/Cargo.toml;crates/swc_nodejs_common/Cargo.toml;crates/swc_plugin/Cargo.toml;crates/swc_plugin_backend_tests/Cargo.toml;crates/swc_plugin_backend_wasmer/Cargo.toml;crates/swc_plugin_backend_wasmtime/Cargo.toml;crates/swc_plugin_macro/Cargo.toml;crates/swc_plugin_proxy/Cargo.toml;crates/swc_plugin_runner/Cargo.toml;crates/swc_sourcemap/Cargo.toml;crates/swc_transform_common/Cargo.toml;crates/swc_ts_fast_strip/Cargo.toml;crates/swc_ts_fast_strip_binding/Cargo.toml;crates/swc_typescript/Cargo.toml;crates/swc_visit/Cargo.toml;crates/swc_xml/Cargo.toml;crates/swc_xml_ast/Cargo.toml;crates/swc_xml_codegen/Cargo.toml;crates/swc_xml_codegen_macros/Cargo.toml;crates/swc_xml_parser/Cargo.toml;crates/swc_xml_visit/Cargo.toml;crates/testing/Cargo.toml;crates/testing_macros/Cargo.toml;tools/generate-code/Cargo.toml;tools/swc-releaser/Cargo.toml;xtask/Cargo.toml,Cargo.lock;crates/swc_ecma_minifier/fuzz/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/next,npm,next,npmjs.org,345645,8463,217407589,last-month,16.3.1,2026-08-13T22:45:02.025Z,https://github.com/vercel/next.js,141742,246058,1323575,napi-rs,0,1,70,Cargo.toml;crates/next-api/Cargo.toml;crates/next-build-test/Cargo.toml;crates/next-build/Cargo.toml;crates/next-code-frame/Cargo.toml;crates/next-core/Cargo.toml;crates/next-custom-transforms/Cargo.toml;crates/next-error-code-swc-plugin/Cargo.toml;crates/next-napi-bindings/Cargo.toml;crates/next-taskless/Cargo.toml;crates/wasm/Cargo.toml;rspack/Cargo.toml;rspack/crates/binding/Cargo.toml;scripts/send-trace-to-jaeger/Cargo.toml;turbopack/crates/turbo-bincode/Cargo.toml;turbopack/crates/turbo-dyn-eq-hash/Cargo.toml;turbopack/crates/turbo-esregex/Cargo.toml;turbopack/crates/turbo-frozenmap/Cargo.toml;turbopack/crates/turbo-persistence-tools/Cargo.toml;turbopack/crates/turbo-persistence/Cargo.toml;turbopack/crates/turbo-prehash/Cargo.toml;turbopack/crates/turbo-rcstr-macros/Cargo.toml;turbopack/crates/turbo-rcstr/Cargo.toml;turbopack/crates/turbo-tasks-auto-hash-map/Cargo.toml;turbopack/crates/turbo-tasks-backend/Cargo.toml;turbopack/crates/turbo-tasks-backend/fuzz/Cargo.toml;turbopack/crates/turbo-tasks-bytes/Cargo.toml;turbopack/crates/turbo-tasks-env/Cargo.toml;turbopack/crates/turbo-tasks-fetch/Cargo.toml;turbopack/crates/turbo-tasks-fs/Cargo.toml;turbopack/crates/turbo-tasks-fuzz/Cargo.toml;turbopack/crates/turbo-tasks-hash/Cargo.toml;turbopack/crates/turbo-tasks-macros-tests/Cargo.toml;turbopack/crates/turbo-tasks-macros/Cargo.toml;turbopack/crates/turbo-tasks-malloc/Cargo.toml;turbopack/crates/turbo-tasks-testing/Cargo.toml;turbopack/crates/turbo-tasks/Cargo.toml;turbopack/crates/turbo-unix-path/Cargo.toml;turbopack/crates/turbopack-analyze/Cargo.toml;turbopack/crates/turbopack-bench/Cargo.toml;turbopack/crates/turbopack-browser/Cargo.toml;turbopack/crates/turbopack-cli-utils/Cargo.toml;turbopack/crates/turbopack-cli/Cargo.toml;turbopack/crates/turbopack-core/Cargo.toml;turbopack/crates/turbopack-create-test-app/Cargo.toml;turbopack/crates/turbopack-css/Cargo.toml;turbopack/crates/turbopack-dev-server/Cargo.toml;turbopack/crates/turbopack-ecmascript-hmr-protocol/Cargo.toml;turbopack/crates/turbopack-ecmascript-plugins/Cargo.toml;turbopack/crates/turbopack-ecmascript-runtime/Cargo.toml;turbopack/crates/turbopack-ecmascript/Cargo.toml;turbopack/crates/turbopack-env/Cargo.toml;turbopack/crates/turbopack-image/Cargo.toml;turbopack/crates/turbopack-lightningcss-napi/Cargo.toml;turbopack/crates/turbopack-mdx/Cargo.toml;turbopack/crates/turbopack-nft/Cargo.toml;turbopack/crates/turbopack-node/Cargo.toml;turbopack/crates/turbopack-nodejs/Cargo.toml;turbopack/crates/turbopack-resolve/Cargo.toml;turbopack/crates/turbopack-static/Cargo.toml;turbopack/crates/turbopack-swc-ast-explorer/Cargo.toml;turbopack/crates/turbopack-swc-utils/Cargo.toml;turbopack/crates/turbopack-test-utils/Cargo.toml;turbopack/crates/turbopack-tests/Cargo.toml;turbopack/crates/turbopack-trace-server/Cargo.toml;turbopack/crates/turbopack-trace-utils/Cargo.toml;turbopack/crates/turbopack-tracing/Cargo.toml;turbopack/crates/turbopack-wasm/Cargo.toml;turbopack/crates/turbopack/Cargo.toml;turbopack/xtask/Cargo.toml,Cargo.lock;crates/next-error-code-swc-plugin/Cargo.lock;rspack/Cargo.lock;scripts/send-trace-to-jaeger/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/use-sync-external-store,npm,use-sync-external-store,npmjs.org,328502,779,402886368,last-month,1.6.0,2025-10-01T21:39:12.499Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/react-devtools-core,npm,react-devtools-core,npmjs.org,324856,567,46220834,last-month,7.0.1,2025-10-20T18:06:18.580Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:gem/commonmarker,rubygems,commonmarker,rubygems.org,317893,69,94997811,total,2.9.0,2026-07-14T16:26:52.386Z,https://github.com/gjtorikian/commonmarker,556,1588,12629,"Magnus,rb-sys",0,1,2,Cargo.toml;ext/commonmarker/Cargo.toml,Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/use-subscription,npm,use-subscription,npmjs.org,315007,287,2486285,last-month,1.12.0,2025-10-01T21:39:09.936Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
