repository_url,ecosystems,dependent_repos,has_rust,has_c,c_loc,cpp_loc,c_build_tools,brief_languages
https://github.com/phpmd/phpmd,packagist,13853,0,0,0,0,"","PHP,JavaScript,Python"
https://github.com/python-poetry/tomlkit,pypi,13686,0,0,0,0,"","Python,Go"
https://github.com/chenzhuoyu/base64x,go,13609,0,1,430,0,"","Go,C,Python"
https://github.com/getsentry/sentry-python,pypi,13068,0,0,0,0,"",Python
https://github.com/dmlc/xgboost,pypi,12601,0,1,40207,51715,CMake,"C++,C,Python,Scala,R,Java,JavaScript"
https://github.com/puppetlabs/puppet,rubygems,12289,0,0,0,0,"","Ruby,C#"
https://github.com/hynek/argon2-cffi-bindings,pypi,11990,0,1,4802,0,CMake,"C,Python,Swift"
https://github.com/pytorch/audio,pypi,11395,0,1,1741,1063,"","Python,C,C++"
https://github.com/pytables/pytables,pypi,11004,0,1,94919,599,CMake,"C,Python,C#,Ada,C++"
https://github.com/gorakhargosh/pathtools,pypi,10687,0,0,0,0,"",Python
https://github.com/rust-lang/libz-sys,cargo,10491,1,1,59185,3712,CMake,"C,C++,C#,Ada,Rust"
https://github.com/gyscos/zstd-rs,cargo,10445,1,1,89437,2242,"","C,Rust,C++,Python,Lua,Swift"
https://github.com/pypa/pipenv,pypi,9816,0,1,9130,0,"","Python,C,JavaScript"
https://github.com/microsoft/onnxruntime,pypi,9609,1,1,368821,1956944,CMake,"C++,C,Python,TypeScript,C#,JavaScript,Java,Objective-C,Rust,Go,Kotlin,Prolog,Swift"
https://github.com/horejsek/python-fastjsonschema,pypi,9471,0,0,0,0,"",Python
https://github.com/mustache/mustache,rubygems,9411,0,0,0,0,"",Ruby
https://github.com/lightning-ai/lightning,pypi,9165,0,0,0,0,"","Python,JavaScript"
https://github.com/magicstack/httptools,pypi,9068,0,1,0,0,"",Python
https://github.com/getsentry/raven-python,pypi,8987,0,0,0,0,"",Python
https://github.com/gtk-rs/gtk3-rs,cargo,8833,1,1,4832,0,"","Rust,C"
https://github.com/redis/hiredis-py,pypi,8781,0,1,644,0,"","Python,C"
https://github.com/onnx/onnx,pypi,8716,0,1,10366,53108,CMake,"Python,C,C++,JavaScript"
https://github.com/crossbario/autobahn-python,pypi,8630,0,1,39191,55119,CMake,"Python,TypeScript,Rust,C,JavaScript,Java,Swift,C++,C#,Kotlin,Go,Lua,PHP,Nim,Dart,Perl"
https://github.com/googleapis/python-crc32c,pypi,8602,0,1,403,937,"","C++,C,Python"
https://github.com/facebook/socketrocket,cocoapods,8470,0,1,345,0,"","C,Objective-C,Ruby,Go,JavaScript,Python"
https://github.com/php-amqplib/php-amqplib,packagist,8356,0,0,0,0,"","PHP,JavaScript"
https://github.com/redis/hiredis-rb,rubygems,7651,0,1,505,0,"","Ruby,C"
https://github.com/pdepend/pdepend,packagist,7454,0,0,0,0,"",PHP
https://github.com/smithay/wayland-rs,cargo,7390,1,1,34,0,CMake,"Rust,C,Python"
https://github.com/libgdx/libgdx,maven,7298,0,1,202327,206312,CMake,"Java,C,C++,Python,Lua,JavaScript,Perl"
https://github.com/tafia/quick-xml,cargo,7278,1,0,0,0,"","Rust,Python"
https://github.com/explosion/cython-blis,pypi,7186,0,1,861391,0,"","C,Objective-C,Fortran,Python,Emacs Lisp"
https://github.com/lepture/python-livereload,pypi,7094,0,0,0,0,"","Python,JavaScript"
https://github.com/alexhuszagh/rust-lexical,cargo,7088,1,0,0,0,"","Rust,Python,Go"
https://github.com/executablebooks/sphinx-copybutton,pypi,6866,0,0,0,0,"","JavaScript,Python,TypeScript"
https://github.com/crossbario/txaio,pypi,6771,0,0,0,0,"",Python
https://github.com/rustcrypto/signatures,cargo,6597,1,0,0,0,"",Rust
https://github.com/python-hyper/brotlipy,"conda,pypi",6521,0,1,36514,2381,CMake,"C,Java,Python,C#,C++,Go,JavaScript,TypeScript,Kotlin"
https://github.com/aclysma/wepoll-ffi,cargo,6498,1,0,0,0,"",Rust
https://github.com/servo/html5ever,cargo,6458,1,0,0,0,"","Rust,Python"
https://github.com/davepacheco/node-extsprintf,npm,6246,0,0,0,0,"",JavaScript
https://github.com/gtk-rs/gtk-rs-core,cargo,6208,1,1,2804,0,"","Rust,C"
https://github.com/xunit/xunit.analyzers,nuget,6056,0,0,0,0,"",C#
https://github.com/magicstack/asyncpg,pypi,5961,0,1,2381,0,"","Python,C"
https://github.com/python-hyper/hyperframe,pypi,5928,0,0,0,0,"",Python
https://github.com/spring-cloud/spring-cloud-build,maven,5848,0,0,0,0,"",Java
https://github.com/mizzy/specinfra,rubygems,5836,0,0,0,0,"",Ruby
https://github.com/ansible/ansible-lint,pypi,5822,0,0,0,0,"","Python,TypeScript,JavaScript"
https://github.com/arekinath/node-getpass,npm,5797,0,0,0,0,"",JavaScript
https://github.com/shepmaster/twox-hash,cargo,5753,1,1,55150,35,CMake,"C,Rust,C++,JavaScript,R"
https://github.com/plotters-rs/plotters,cargo,5658,1,0,0,0,"",Rust
https://github.com/lightgbm-org/lightgbm,pypi,5625,0,1,237465,187962,CMake,"C++,C,Python,R,Fortran,Common Lisp,JavaScript"
https://github.com/python-jsonschema/referencing,pypi,5498,0,0,0,0,"",Python
https://github.com/bastibe/python-soundfile,pypi,5341,0,0,0,0,"",Python
https://github.com/bobthecow/mustache.php,packagist,5333,0,0,0,0,"",PHP
https://github.com/voxpupuli/json-schema,rubygems,5294,0,0,0,0,"",Ruby
https://github.com/mlflow/mlflow,pypi,5089,0,0,0,0,"","Python,TypeScript,JavaScript,R,Java,Scala"
https://github.com/ernie/meta_search,rubygems,5082,0,0,0,0,"",Ruby
https://github.com/joyent/node-jsprim,npm,5049,0,0,0,0,"",JavaScript
https://github.com/mozilla/rhino,maven,5043,0,0,0,0,"","JavaScript,Java,TypeScript,Kotlin,Python"
https://github.com/brendanzab/gl-rs,cargo,4880,1,1,170487,559399,"","C,C++,JavaScript,Python,Objective-C,Rust,PHP,Java,Perl,Tcl"
https://github.com/mongodb/mongo-php-library,packagist,4791,0,0,0,0,"","PHP,Python,TypeScript"
https://github.com/vmg/rinku,rubygems,4700,0,1,1036,0,"","C,Ruby"
https://github.com/mitchellh/vagrant,rubygems,4575,0,1,34,0,"","Ruby,Go,C,Emacs Lisp"
https://github.com/ash-rs/ash,cargo,4568,1,0,0,0,"",Rust
https://github.com/ekmett/lens,hackage,4552,0,1,20,0,"","Haskell,C"
https://github.com/tauri-apps/javascriptcore-rs,cargo,4532,1,1,86,0,"","Rust,C,Python"
https://github.com/tauri-apps/webkit2gtk-rs,cargo,4531,1,1,397,0,"","Rust,C,Python"
https://github.com/rust-lang/git2-rs,cargo,4507,1,1,273511,0,CMake,"C,Rust,PHP,JavaScript,Python"
https://github.com/tauri-apps/tao,cargo,4504,1,0,0,0,"",Rust
https://github.com/scikit-build/ninja-python-distributions,pypi,4432,0,1,1998,19587,CMake,"C++,C,Python"
https://github.com/quick/quick,"cocoapods,swiftpm",4383,0,1,482,0,"","Swift,Objective-C,JavaScript,C,Ruby"
https://github.com/fbernier/tomlrb,rubygems,4344,0,0,0,0,"","Ruby,Go,Python"
https://github.com/cotag/http-parser,rubygems,4267,0,1,6278,0,"","Ruby,C"
https://github.com/plamere/spotipy,pypi,4222,0,0,0,0,"",Python
https://github.com/awslabs/aws-crt-php,packagist,4154,0,1,2861,0,CMake,"PHP,C,Python,Rust"
https://github.com/bytecodealliance/wasm-tools,cargo,4149,1,1,322,0,"","Rust,TypeScript,C,Python"
https://github.com/joyent/node-sshpk,npm,4144,0,1,79779,0,"","C,JavaScript,Python,Perl,Groovy"
https://github.com/ruby-amqp/amq-protocol,rubygems,4110,0,0,0,0,"","Ruby,Python"
https://github.com/bitshifter/glam-rs,cargo,4083,1,0,0,0,"",Rust
https://github.com/getmoto/moto,pypi,4070,0,1,0,116,"","Python,Java,JavaScript,C#,Go,Ruby,C++,Scala"
https://github.com/joyent/node-verror,npm,4047,0,0,0,0,"",JavaScript
https://github.com/google/xi-editor,cargo,3990,1,1,304,2299,"","Rust,Python,C#,JavaScript,Objective-C,C++,C,Clojure,Groovy,Lua,Ruby,Common Lisp,D,Erlang,Go,Haskell,Java,OCaml,Perl,PHP,R,Scala,Tcl"
https://github.com/libgit2/rugged,rubygems,3816,0,1,8912,0,"","Ruby,C"
https://github.com/py-pdf/pypdf,pypi,3809,0,0,0,0,"",Python
https://github.com/duckdb/duckdb-python,pypi,3752,0,1,0,16470,CMake,"Python,C++"
https://github.com/deepspeedai/deepspeed,pypi,3724,0,1,20879,10268,"","Python,C,C++"
https://github.com/philss/floki,hex,3689,0,0,0,0,"","Elixir,Erlang"
https://github.com/openssl/openssl,conda,3674,0,1,1193193,8089,"","C,Perl,Rust,Emacs Lisp"
https://github.com/alexcrichton/openssl-src-rs,cargo,3600,1,1,670504,0,"","C,Perl,Python,Rust,Emacs Lisp,Prolog,Ruby"
https://github.com/pennydreadfulmtg/pystache,pypi,3500,0,0,0,0,"",Python
https://github.com/alexcrichton/curl-rust,cargo,3441,1,1,198984,196,CMake,"C,Perl,Python,Rust,C++,Emacs Lisp"
https://github.com/bytecodealliance/wasmtime,cargo,3431,1,1,5595,10862,CMake,"Rust,C,C++,Python,TypeScript,JavaScript,Nix,OCaml"
https://github.com/nipy/nibabel,pypi,3394,0,0,0,0,"","Python,Prolog,Verilog,Objective-C"
https://github.com/paritytech/parity-wasm,cargo,3388,1,0,0,0,"",Rust
https://github.com/phusion/passenger,rubygems,3332,0,1,88340,600455,"","C++,C,Ruby,JavaScript,Python"
https://github.com/ifduyue/python-xxhash,pypi,3258,0,1,57396,35,CMake,"C,Python,C++"
https://github.com/avakar/pytoml,pypi,3240,0,0,0,0,"","Python,Go"
https://github.com/chronotope/chrono-tz,cargo,3186,1,1,7860,0,"","Rust,C"
https://github.com/webpack/webpack,npm,3177,0,1,100,14,"","JavaScript,TypeScript,C++"
https://github.com/alexcrichton/brotli2-rs,cargo,3132,1,1,28619,981,CMake,"C,Java,Rust,Python,C++,Go,Lua"
https://github.com/gfx-rs/rspirv,cargo,3131,1,0,0,0,"",Rust
https://github.com/rustcrypto/rsa,cargo,3083,1,0,0,0,"",Rust
https://github.com/katyo/oboe-rs,cargo,3020,1,1,9634,12543,CMake,"C,C++,Java,Rust,Kotlin,Prolog,Nix,Python"
https://github.com/pytorch/text,pypi,2976,0,1,450,2155,CMake,"Python,C++,C"
